label,pitch_in,blades,rpm,Re_75,sigma,sigma_over_8,profile_integral,CT_rotor,CP_rotor,CT_over_sigma,FM_measured,cd0_all_profile,cd0_upper_bound,cd0_kappa_typical,solver_profile_share,cd_eff_solver,kappa_solver,cd0_zero_lift_nf,cd0_zero_lift_xf,kappa_implied_nf,kappa_implied_xf,profile_share_implied_nf
DA4002 9x8.95 2b,8.95,2,4936.667,62840.546980800995,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.01941877788836715,0.004930997660499,0.2529811135747113,0.38804585354838467,0.38777518000322586,0.23730062929399556,0.21472944668761104,0.49395978183399564,0.15493300874417443,1.418334759404782,0.019890009919477272,0.020274135017719828,2.4448331518505877,2.442280393949454,0.05129263280675109
DA4002 9x8.95 2b,8.95,2,5180.0,65937.93610743342,0.07675979291091359,0.009594974113864198,0.012716124999176015,0.019534754406188935,0.004966928598390395,0.25449201548603334,0.38869505778372715,0.39060080006387515,0.23877619951267715,0.21600250942999746,0.4631641133334562,0.14481974917781673,1.423463275121706,0.019328499047753724,0.019633891068525547,2.4454027849783255,2.443391305813137,0.04948402318836245
DA4022 9x6.75 3b,6.75,3,2537.778,41666.60312327477,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.025782392650450608,0.0047420214591547705,0.17367776734964724,0.6173142672949635,0.19179013011574822,0.07339534646893939,0.05563612892191808,0.3509080748268965,0.07676806226542614,1.290606601190834,0.026453760231336082,0.026735236256921438,1.3964835678710121,1.3941061318310506,0.1379307695102498
DA4022 9x6.75 3b,6.75,3,2793.333,46069.25642014069,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.02539434218815035,0.004640347170904377,0.171063745492753,0.616651765789561,0.18767793342053443,0.0719460043770262,0.05458621502049996,0.30680599290293703,0.06716455894236782,1.2877167719649893,0.02469889382616085,0.025106486693231383,1.4082461161872042,1.404724245684922,0.13160254578686909
DA4022 9x6.75 3b,6.75,3,2986.667,49282.96130552846,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.025668867249245747,0.0046552944410671974,0.1729130269127899,0.6246660504002663,0.18828247283776295,0.07066880417060213,0.053026753870528014,0.2763506626588938,0.060499638927116656,1.2835230266881723,0.023417933832438627,0.023917585347392946,1.4017464200685759,1.397498176470561,0.12437660011304993
DA4022 9x6.75 3b,6.75,3,3204.445,52887.84987852284,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.02578342469955247,0.0046426467509294266,0.17368471953543685,0.6305655865564892,0.18777093948472345,0.06936904689027576,0.05160876300110862,0.24759394362550927,0.05420968584629986,1.2784432037619917,0.022344562059167853,0.022846311196710083,1.3971599085174848,1.3929222301616089,0.11899904277246133
DA4022 9x6.75 3b,6.75,3,3440.0,56781.19790864532,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.025917075058243647,0.004640593554478489,0.17458502759519162,0.6357559734335091,0.18768789835598326,0.06836419583498561,0.05046564045683597,0.22123506499564752,0.04845120851970718,1.2731295226053614,0.021282780571484118,0.021759665974650053,1.3945688431451115,1.3905722742062456,0.11339452760623685
DA4022 9x6.75 3b,6.75,3,3697.778,61039.73489735895,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.025983771231451507,0.004629957996862636,0.17503431260184535,0.6396777236338745,0.1872577453091091,0.06747313705696635,0.04950544581914495,0.198456869854203,0.04347706021880432,1.2684254237207155,0.020216470535642486,0.02064637079208417,1.394513679268793,1.3909247352240224,0.10796066406903948
DA4022 9x6.75 3b,6.75,3,3884.444,64122.766564008314,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.025903916432194904,0.004600227712253071,0.1744963872263741,0.6408462064419187,0.1860553097649513,0.0668224703137062,0.04893754439601944,0.18636632109422804,0.04083076086769924,1.26635504963286,0.019657562459222084,0.020009094592986547,1.3955697781882488,1.3926214953545735,0.10565440182307086
DA4022 9x6.75 3b,6.75,3,4108.889,67829.56192928593,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.026200114524429406,0.004636199714073484,0.1764916645479928,0.646811377877169,0.18751019034047925,0.06622646576034363,0.04803390707332329,0.17103373814820028,0.037506715019074405,1.2636027592061378,0.018985575242969142,0.01924288369519707,1.3895072540105007,1.3873857125331206,0.10125089846314653
DA4022 9x6.75 3b,6.75,3,4335.556,71572.80596174757,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.026080138816337906,0.00460807092269565,0.17568347294995038,0.6462948503616082,0.18637252687673878,0.06592092250742211,0.047853181852024605,0.15773042324121725,0.03460164682662285,1.2609837087736098,0.01835554279411707,0.018579086679591728,1.3948920395237312,1.3930361581791435,0.09848845804541179
DA4022 9x6.75 3b,6.75,3,4564.444,75352.34306333124,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.026246298721737747,0.004633119919397079,0.17680277486207793,0.6489534746566387,0.187385628647369,0.06578107383594031,0.047540390614226026,0.15071620067572272,0.03300331168358032,1.2602121658035585,0.017787066561443143,0.018062050644012582,1.3946727764344118,1.3924114788786102,0.09492225572386703
DA4022 9x6.75 3b,6.75,3,4784.445,78985.06309494413,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.026413877694652654,0.004655664016428366,0.17793163602966625,0.652006033838808,0.18829742024093618,0.06552636608756411,0.047110707964558296,0.13957214702507142,0.030584219657081343,1.2581875152949744,0.017240672931105424,0.017565099003366683,1.3932986768700188,1.3906561478594268,0.09156085574112009
DA4022 9x6.75 3b,6.75,3,5004.444,82617.33725353637,0.1484495859423712,0.0185561982427964,0.024725054705854205,0.026479799831034115,0.004663630418658001,0.17837570689697776,0.6533304839651679,0.1886196198204481,0.06538867231782876,0.04690403019243587,0.13481995563647223,0.029470826176427677,1.25763685684269,0.01674739291372615,0.017079715845578793,1.3947164278929909,1.3920196789140415,0.08878924117050194
