tunnel,airfoil,polar,geom_key,Re,Re_bin,alpha,WT_CL,WT_CD,NF_CL,NF_CD,NF_conf,dCL,err_CD,XF_CL,XF_CD,xf_converged,err_CD_NF_WT,err_CD_XF_WT,err_CD_NF_XF,dCL_NF_WT,dCL_XF_WT,dCL_NF_XF
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,1.2,0.514,0.0114,0.4928766312835629,0.0113125631736183,0.9824552831335304,-0.0211233687164371,-0.0076698970510233,0.4972,0.01175,True,-0.007669897051026375,0.030701754385964876,-0.03722866607503832,-0.021123368716437108,-0.016800000000000037,-0.0043233687164370704
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,2.23,0.627,0.0111,0.6316453894200524,0.0111623737806474,0.9813856881192882,0.0046453894200524,0.0056192595177905,0.6428,0.01077,True,0.005619259517783796,-0.029729729729729766,0.036432105909693646,0.004645389420052437,0.015800000000000036,-0.0111546105799476
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,3.24,0.725,0.012,0.7454177324307729,0.0118691676160058,0.9837227937190242,0.0204177324307729,-0.0109026986661803,0.7432,0.01174,True,-0.010902698666183345,-0.02166666666666665,0.011002352300323651,0.02041773243077294,0.018199999999999994,0.002217732430772945
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,4.26,0.814,0.0131,0.8457612833328417,0.0129553782707126,0.9848665866834796,0.0317612833328417,-0.0110398266631598,0.8455,0.01298,True,-0.01103982666316035,-0.009160305343511473,-0.0018968974797688967,0.03176128333284178,0.031500000000000083,0.0002612833328416997
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,5.28,0.908,0.0148,0.9457831278745542,0.0142269862278556,0.9851614253799024,0.0377831278745541,-0.0387171467665107,0.949,0.01434,True,-0.03871714676651359,-0.031081081081081104,-0.007881016188591413,0.03778312787455418,0.040999999999999925,-0.0032168721254457466
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,6.3,0.999,0.0163,1.0452801875088225,0.0155773509919002,0.9851031148351094,0.0462801875088224,-0.0443342949754467,1.0523,0.01577,True,-0.0443342949754478,-0.03251533742331284,-0.012216170456550409,0.04628018750882246,0.053300000000000014,-0.007019812491177557
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,7.32,1.085,0.018,1.1423490208449725,0.0168449781185954,0.9850841748738592,0.0573490208449722,-0.0641678823002544,1.151,0.01713,True,-0.06416788230025544,-0.0483333333333333,-0.016638755481879656,0.05734902084497251,0.06600000000000006,-0.00865097915502755
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,8.34,1.168,0.0195,1.2332916729057215,0.0179100857088449,0.9857706658063372,0.0652916729057215,-0.0815340662130771,1.238,0.01816,True,-0.08153406621308212,-0.06871794871794877,-0.01376180017373901,0.06529167290572158,0.07000000000000006,-0.004708327094278486
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,9.35,1.228,0.0227,1.30296239265174,0.0191106010679012,0.9873406920008138,0.0749623926517399,-0.158123300973515,1.3111,0.01927,True,-0.15812330097351548,-0.1511013215859032,-0.008271869854634096,0.07496239265173998,0.08309999999999995,-0.008137607348259968
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,10.36,1.239,0.0356,1.305803818137805,0.0237615887625392,0.9892710473196488,0.0668038181378052,-0.3325396415017063,1.2985,0.02507,True,-0.3325396415017079,-0.29578651685393265,-0.05219031661191863,0.066803818137805,0.059499999999999886,0.007303818137805118
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,11.35,1.219,0.0623,1.2680961362201828,0.0341751222573595,0.9914470415111614,0.0490961362201827,-0.4514426603955122,1.2814,0.03416,True,-0.45144266039551373,-0.45168539325842694,0.000442689032772078,0.04909613622018272,0.06240000000000001,-0.013303863779817293
Princeton,WB135/35,WB135/35|204000,WB135/35,204000,200k,12.35,1.198,0.0807,1.2550531488951169,0.0448633561237898,0.9920158641118052,0.0570531488951167,-0.4440724148229261,1.2676,0.04504,True,-0.44407241482292686,-0.4418835192069393,-0.003921933308396954,0.05705314889511692,0.0696000000000001,-0.012546851104883183
